Event Name,Start Date,End Date,Location,City,Country,Continent,Type,Category,Attendance (Expected),Short Description,Website,Twitter,Telegram,Discord,Farcaster
Pragma Lisbon 2026,2026-07-23,2026-07-23,Lisbon,Lisbon,Portugal,Europe,Conference,Ethereum,1000+,One-day ETHGlobal summit preceding Lisbon hackathon,https://ethglobal.com/events/pragma-lisbon2026,https://x.com/ethglobal,,https://ethglobal.com/discord,https://farcaster.xyz/ethglobal
ETHGlobal Lisbon 2026,2026-07-24,2026-07-26,Lisbon,Lisbon,Portugal,Europe,Hackathon,Ethereum,800+,36-hour IRL hackathon as part of Onchain Lisbon week,https://ethglobal.com/events/lisbon2026,https://x.com/ethglobal,,https://ethglobal.com/discord,https://farcaster.xyz/ethglobal
ICML 2026,2026-07-06,2026-07-11,Seoul,Seoul,South Korea,Asia,Conference,AI Research,3000+,43rd International Conference on Machine Learning with tutorials and workshops,https://icml.cc,,,https://discord.com,
Ai4 2026,2026-08-04,2026-08-06,Las Vegas,Las Vegas,USA,North America,Conference,AI,12000+,Enterprise AI conference with generative AI agents computer vision AI policy and industry applications,https://ai4summit.com,,,https://discord.com,
Arc x Lablab AI Hackathon - Agentic Commerce,2026-01-09,2026-01-24,San Francisco (finale),San Francisco,USA,North America,Hackathon,AI,500+,Online + on-site finale hackathon on agentic commerce with Google Gemini and Arc partnership. $5000 in Google Cloud Credits,https://lablab.ai,https://x.com/lablabai,,,https://discord.com/invite/lablab
Hack4Privacy Hackathon,2026-01-27,2026-02-09,Online + Various,Online,Online,Global,Hackathon,Blockchain Privacy,200+,Confidential DeFi & RWA applications using iExec privacy technology. Prize: 6000 USD,https://hack4privacy.iexec.io,https://x.com/iExecHQ,https://t.me/iexecio,,
Scroll ZKProofs Hackathon,2026-01-12,2026-02-08,Ikeja,Lagos,Nigeria,Africa,Hackathon,Blockchain ZK,300+,Zero-knowledge proofs and blockchain hackathon in Nigeria. Prize: 5000 USD,https://scroll.io/hackathon,https://x.com/Scroll_ZK,,,
Solana Breakpoint 2026,2026-11-15,2026-11-17,London,London,United Kingdom,Europe,Conference + Hackathon,Solana,10000+,Solana flagship annual conference at Olympia Convention Centre. Founders developers and creators discuss high-performance Web3 innovations,https://solana.com/breakpoint,https://x.com/SolanaConf,https://t.me/solana,,
Pragm Tokyo 2026,2026-09-24,2026-09-24,Tokyo,Tokyo,Japan,Asia,Conference,Ethereum,1000+,One-day ETHGlobal summit preceding Tokyo hackathon,https://ethglobal.com/events/pragma-tokyo2026,https://x.com/ethglobal,,https://ethglobal.com/discord,https://farcaster.xyz/ethglobal
ETHGlobal Tokyo 2026,2026-09-25,2026-09-27,Tokyo,Tokyo,Japan,Asia,Hackathon,Ethereum,800+,36-hour IRL hackathon during ETHTokyo Week with institutional summit and AI summit,https://ethglobal.com/events/tokyo2026,https://x.com/ethglobal,,https://ethglobal.com/discord,https://farcaster.xyz/ethglobal
ETHTokyo Week 2026,2026-09-19,2026-09-27,Tokyo,Tokyo,Japan,Asia,Festival,Ethereum,5000+,Multi-event week including conferences Ethereum Institutional Summit Decentralized AI Summit and hackathon,https://www.ethtokyo.org/,https://x.com/eth_tokyo,,https://discord.gg/ethtokyo,
ETHSafari,2026-09-01,2026-09-06,Kilifi,Kilifi,Kenya,Africa,Conference + Hackathon + Festival,Ethereum,2000+,Unique event blending blockchain with Kenyas wildlife. Includes hackathon bootcamp and train journey,https://ethsafari.xyz,https://x.com/ETHSafari,https://t.me/ethsafari,https://discord.com/invite/CkMF5Ff83f,
Korea Blockchain Week 2026,2026-09-01,2026-09-07,Seoul,Seoul,South Korea,Asia,Festival,Blockchain,7000+,Asias largest blockchain event with 340+ speakers. Focus: AI integration RWA tokenization L1/L2 scalability,https://koreablockchainweek.com,https://x.com/KBW_official,,,
Taipei Blockchain Week 2026,2026-TBD,2026-TBD,Taipei,Taipei,Taiwan,Asia,Festival,Blockchain,3000+,Multi-day festival with hackathons and AI-blockchain workshops,https://taipeiblockchainweek.com,,,
NeurIPS 2026,2026-12-02,2026-12-07,San Diego,San Diego,USA,North America,Conference,AI Research,5000+,Premier gathering for machine learning researchers with keynotes workshops and poster sessions,https://neurips.cc,,,https://discord.com,
Pragma Mumbai 2026,2026-11-05,2026-11-05,Mumbai,Mumbai,India,Asia,Conference,Ethereum,1000+,One-day ETHGlobal summit preceding Mumbai hackathon,https://ethglobal.com/events/pragma-mumbai,https://x.com/ethglobal,,https://ethglobal.com/discord,https://farcaster.xyz/ethglobal
Devcon India,2026-11-03,2026-11-06,Mumbai,Mumbai,India,Asia,Conference + Hackathon,Ethereum,5000+,Ethereum Foundations Devcon 8 - flagship event for builders and researchers,https://devcon.org/,https://x.com/EFDevcon,https://t.me/+p4p9VHCChsNjNjhh,,
ETHGlobal Mumbai 2026,2026-11-06,2026-11-08,Mumbai,Mumbai,India,Asia,Hackathon,Ethereum,800+,36-hour IRL hackathon directly after Devcon,https://ethglobal.com/events/mumbai,https://x.com/ethglobal,,https://ethglobal.com/discord,https://farcaster.xyz/ethglobal
CryptoConvergence 2026,2026-12-08,2026-12-10,Abu Dhabi,Abu Dhabi,UAE,Asia,Conference,Institutional Blockchain,2200+,Premier global summit on cryptocurrency blockchain innovation and digital finance. Theme: Bridging Traditional Finance and Decentralized Future,https://cryptoconvergence26.com,,,
Web Summit 2026,2026-11-09,2026-11-12,Lisbon,Lisbon,Portugal,Europe,Conference,Tech (Web3 Track),15000+,Europes largest tech conference with Web3/blockchain track,https://websummit.com,https://x.com/WebSummit,,,
Fintech Abu Dhabi 2026,2026-TBD,2026-TBD,Abu Dhabi,Abu Dhabi,UAE,Asia,Festival,Fintech AI Blockchain,5000+,MENA's leading fintech festival (9th edition). Includes Blockchain Abu Dhabi and AI Abu Dhabi tracks,https://www.adfw.com,https://x.com/FintechAbuDhabi,,,
ETH Seoul,2026-Q2,2026-Q2,Seoul,Seoul,South Korea,Asia,Conference,Ethereum,2000+,Ethereum summit for Korean blockchain community and builders,https://www.ethseoul.org/,https://x.com/eth_seoul_,,,
Lablab AI Hackathons - Ongoing 2026,2026-01-01,2026-12-31,Multiple (Online + Global),Multiple,Multiple,Global,Hackathon,AI,500-2000,Multiple branded AI hackathons throughout 2026 in partnership with Google DeepMind Coral Solana and others,https://lablab.ai,https://x.com/lablabai,,,https://discord.com/invite/lablab
BNB Hack 2026 - Global,2026-01-01,2026-12-31,Global,Multiple,Multiple,Global,Hackathon,BNB Chain,2000+,Year-round global hackathon with AI DeSci DeSoc DePIN tracks. Prize: 10000 USD per entry,https://www.binance.com,https://x.com/BinanceChain,,,
Solana Summer Camp / Hackathon,2026-07-11,2026-08-16,Online + Global Coworking,Multiple,Multiple,Global,Hackathon,Solana,5000+,Annual Solana hackathon with $5M+ prizes. Remote with in-person coworking spaces in 9+ cities,https://solana.com/summer-camp,https://x.com/solana,,,
Cosmos Hackathon 2026,2026-10-01,2026-11-01,Split,Split,Croatia,Europe,Hackathon,Cosmos,1000+,Hybrid hackathon with online phase and in-person finals during Cosmoverse. Tracks: AI Bitcoin Interoperability RWA,https://blog.cosmos.network,https://x.com/cosmosnetwork,,,https://discord.gg/cosmos
